%x y Y
0.000 1.000 0.000
0.063 0.998 0.063
0.126 0.992 0.125
0.188 0.982 0.187
0.251 0.969 0.248
0.314 0.951 0.307
0.377 0.930 0.366
0.440 0.905 0.423
0.503 0.876 0.478
0.565 0.844 0.531
0.628 0.809 0.582
0.691 0.771 0.630
0.754 0.729 0.676
0.817 0.685 0.719
0.880 0.637 0.759
0.942 0.588 0.796
1.005 0.536 0.829
1.068 0.482 0.860
1.131 0.426 0.886
1.194 0.368 0.910
1.257 0.309 0.929
1.319 0.249 0.945
1.382 0.187 0.956
1.445 0.125 0.964
1.508 0.063 0.968
1.571 -0.000 0.968
1.634 -0.063 0.964
1.696 -0.125 0.956
1.759 -0.187 0.945
1.822 -0.249 0.929
1.885 -0.309 0.910
1.948 -0.368 0.886
2.011 -0.426 0.860
2.073 -0.482 0.829
2.136 -0.536 0.796
2.199 -0.588 0.759
2.262 -0.637 0.719
2.325 -0.685 0.676
2.388 -0.729 0.630
2.450 -0.771 0.582
2.513 -0.809 0.531
2.576 -0.844 0.478
2.639 -0.876 0.423
2.702 -0.905 0.366
2.765 -0.930 0.307
2.827 -0.951 0.248
2.890 -0.969 0.187
2.953 -0.982 0.125
3.016 -0.992 0.063
3.079 -0.998 -0.000
3.142 -1.000 -0.063
3.204 -0.998 -0.126
3.267 -0.992 -0.188
3.330 -0.982 -0.250
3.393 -0.969 -0.310
3.456 -0.951 -0.370
3.519 -0.930 -0.429
3.581 -0.905 -0.485
3.644 -0.876 -0.541
3.707 -0.844 -0.594
3.770 -0.809 -0.644
3.833 -0.771 -0.693
3.896 -0.729 -0.739
3.958 -0.685 -0.782
4.021 -0.637 -0.822
4.084 -0.588 -0.859
4.147 -0.536 -0.892
4.210 -0.482 -0.923
4.273 -0.426 -0.949
4.335 -0.368 -0.972
4.398 -0.309 -0.992
4.461 -0.249 -1.007
4.524 -0.187 -1.019
4.587 -0.125 -1.027
4.650 -0.063 -1.031
4.712 -0.000 -1.031
4.775 0.063 -1.027
4.838 0.125 -1.019
4.901 0.187 -1.007
4.964 0.249 -0.992
5.027 0.309 -0.972
5.089 0.368 -0.949
5.152 0.426 -0.923
5.215 0.482 -0.892
5.278 0.536 -0.859
5.341 0.588 -0.822
5.404 0.637 -0.782
5.466 0.685 -0.739
5.529 0.729 -0.693
5.592 0.771 -0.644
5.655 0.809 -0.594
5.718 0.844 -0.541
5.781 0.876 -0.485
5.843 0.905 -0.429
5.906 0.930 -0.370
5.969 0.951 -0.310
6.032 0.969 -0.250
6.095 0.982 -0.188
6.158 0.992 -0.126
6.220 0.998 -0.063
6.283 1.000 0.000
