%x y y_prime
0.000 1.000 -0.031
0.063 0.998 -0.063
0.126 0.992 -0.125
0.188 0.982 -0.187
0.251 0.969 -0.249
0.314 0.951 -0.309
0.377 0.930 -0.368
0.440 0.905 -0.425
0.503 0.876 -0.481
0.565 0.844 -0.535
0.628 0.809 -0.587
0.691 0.771 -0.637
0.754 0.729 -0.684
0.817 0.685 -0.728
0.880 0.637 -0.770
0.942 0.588 -0.808
1.005 0.536 -0.844
1.068 0.482 -0.876
1.131 0.426 -0.904
1.194 0.368 -0.929
1.257 0.309 -0.950
1.319 0.249 -0.968
1.382 0.187 -0.982
1.445 0.125 -0.991
1.508 0.063 -0.997
1.571 -0.000 -0.999
1.634 -0.063 -0.997
1.696 -0.125 -0.991
1.759 -0.187 -0.982
1.822 -0.249 -0.968
1.885 -0.309 -0.950
1.948 -0.368 -0.929
2.011 -0.426 -0.904
2.073 -0.482 -0.876
2.136 -0.536 -0.844
2.199 -0.588 -0.808
2.262 -0.637 -0.770
2.325 -0.685 -0.728
2.388 -0.729 -0.684
2.450 -0.771 -0.637
2.513 -0.809 -0.587
2.576 -0.844 -0.535
2.639 -0.876 -0.481
2.702 -0.905 -0.425
2.765 -0.930 -0.368
2.827 -0.951 -0.309
2.890 -0.969 -0.249
2.953 -0.982 -0.187
3.016 -0.992 -0.125
3.079 -0.998 -0.063
3.142 -1.000 0.000
3.204 -0.998 0.063
3.267 -0.992 0.125
3.330 -0.982 0.187
3.393 -0.969 0.249
3.456 -0.951 0.309
3.519 -0.930 0.368
3.581 -0.905 0.425
3.644 -0.876 0.481
3.707 -0.844 0.535
3.770 -0.809 0.587
3.833 -0.771 0.637
3.896 -0.729 0.684
3.958 -0.685 0.728
4.021 -0.637 0.770
4.084 -0.588 0.808
4.147 -0.536 0.844
4.210 -0.482 0.876
4.273 -0.426 0.904
4.335 -0.368 0.929
4.398 -0.309 0.950
4.461 -0.249 0.968
4.524 -0.187 0.982
4.587 -0.125 0.991
4.650 -0.063 0.997
4.712 -0.000 0.999
4.775 0.063 0.997
4.838 0.125 0.991
4.901 0.187 0.982
4.964 0.249 0.968
5.027 0.309 0.950
5.089 0.368 0.929
5.152 0.426 0.904
5.215 0.482 0.876
5.278 0.536 0.844
5.341 0.588 0.808
5.404 0.637 0.770
5.466 0.685 0.728
5.529 0.729 0.684
5.592 0.771 0.637
5.655 0.809 0.587
5.718 0.844 0.535
5.781 0.876 0.481
5.843 0.905 0.425
5.906 0.930 0.368
5.969 0.951 0.309
6.032 0.969 0.249
6.095 0.982 0.187
6.158 0.992 0.125
6.220 0.998 0.063
6.283 1.000 0.031
